date,machine_name,region_id,dam,fly_id,status,round,experiment,sd,sex,genotype,hours_sd,type_sd
2016-05-02_09-23-48,ETHOSCOPE_021,1,1,1,ok,2,5,T,F,CS,12,shaker
2016-05-02_09-23-55,ETHOSCOPE_024,1,1,4,ok,2,5,T,F,CS,12,shaker
2016-05-02_09-42-41,ETHOSCOPE_021,1,2,1,ok,2,5,F,F,CS,12,shaker
2016-05-02_09-42-43,ETHOSCOPE_023,1,2,2,ok,2,5,F,F,CS,12,shaker
2016-05-02_09-42-45,ETHOSCOPE_025,1,2,3,ok,2,5,F,F,CS,12,shaker
2016-05-02_09-42-49,ETHOSCOPE_024,1,2,4,ok,2,5,F,F,CS,12,shaker
2016-05-02_10-02-17,ETHOSCOPE_021,1,1,5,ok,2,5,T,F,CS,12,shaker
2016-05-02_10-02-19,ETHOSCOPE_023,1,1,6,ok,2,5,T,F,CS,12,shaker
2016-05-02_10-02-24,ETHOSCOPE_024,1,1,8,ok,2,5,T,F,CS,12,shaker
2016-05-02_10-24-05,ETHOSCOPE_021,1,2,5,ok,2,5,F,F,CS,12,shaker
2016-05-02_10-24-36,ETHOSCOPE_023,1,2,6,ok,2,5,F,F,CS,12,shaker
2016-05-02_10-24-48,ETHOSCOPE_025,1,2,7,ok,2,5,F,F,CS,12,shaker
2016-05-02_10-25-04,ETHOSCOPE_024,1,2,9,ok,2,5,F,F,CS,12,shaker
2016-05-02_10-43-30,ETHOSCOPE_021,1,1,9,ok,2,5,T,F,CS,12,shaker
2016-05-02_10-43-47,ETHOSCOPE_023,1,1,10,ok,2,5,T,F,CS,12,shaker
2016-05-02_10-44-01,ETHOSCOPE_025,1,1,11,ok,2,5,T,F,CS,12,shaker
2016-05-02_10-44-17,ETHOSCOPE_024,1,1,12,ok,2,5,T,F,CS,12,shaker
2016-05-02_11-07-36,ETHOSCOPE_021,1,2,10,ok,2,5,F,F,CS,12,shaker
2016-05-02_11-07-39,ETHOSCOPE_023,1,2,11,ok,2,5,F,F,CS,12,shaker
2016-05-03_09-15-03,ETHOSCOPE_021,1,4,1,ok,1,6,T,F,CS,12,shaker
2016-05-03_09-15-05,ETHOSCOPE_023,1,4,2,ok,1,6,T,F,CS,12,shaker
2016-05-03_09-15-08,ETHOSCOPE_025,1,4,3,ok,1,6,T,F,CS,12,shaker
2016-05-03_09-41-10,ETHOSCOPE_021,1,3,1,ok,1,6,F,F,CS,12,shaker
2016-05-03_09-41-13,ETHOSCOPE_023,1,3,2,ok,1,6,F,F,CS,12,shaker
2016-05-03_09-41-15,ETHOSCOPE_025,1,3,3,ok,1,6,F,F,CS,12,shaker
2016-05-03_09-41-18,ETHOSCOPE_024,1,3,4,ok,1,6,F,F,CS,12,shaker
2016-05-03_10-08-09,ETHOSCOPE_021,1,4,5,ok,1,6,T,F,CS,12,shaker
2016-05-03_10-08-11,ETHOSCOPE_023,1,4,6,ok,1,6,T,F,CS,12,shaker
2016-05-03_10-08-14,ETHOSCOPE_025,1,4,7,ok,1,6,T,F,CS,12,shaker
2016-05-03_10-08-16,ETHOSCOPE_024,1,4,8,ok,1,6,T,F,CS,12,shaker
2016-05-03_10-37-45,ETHOSCOPE_025,1,3,7,ok,1,6,F,F,CS,12,shaker
2016-05-03_10-37-48,ETHOSCOPE_024,1,3,8,ok,1,6,F,F,CS,12,shaker
2016-05-03_11-07-56,ETHOSCOPE_021,1,4,9,ok,1,6,T,F,CS,12,shaker
2016-05-03_11-07-58,ETHOSCOPE_023,1,4,10,ok,1,6,T,F,CS,12,shaker
2016-05-03_11-08-00,ETHOSCOPE_025,1,3,9,ok,1,6,F,F,CS,12,shaker
2016-05-03_11-08-02,ETHOSCOPE_024,1,3,10,ok,1,6,F,F,CS,12,shaker
2016-05-06_09-20-12,ETHOSCOPE_021,1,3,1,ok,2,6,T,F,CS,12,shaker
2016-05-06_09-20-13,ETHOSCOPE_023,1,3,2,ok,2,6,T,F,CS,12,shaker
2016-05-06_09-19-29,ETHOSCOPE_025,1,3,3,ok,2,6,T,F,CS,12,shaker
2016-05-06_09-19-56,ETHOSCOPE_024,1,3,4,ok,2,6,T,F,CS,12,shaker
2016-05-06_09-41-40,ETHOSCOPE_021,1,4,1,ok,2,6,F,F,CS,12,shaker
2016-05-06_09-42-06,ETHOSCOPE_023,1,4,2,ok,2,6,F,F,CS,12,shaker
2016-05-06_09-42-22,ETHOSCOPE_025,1,4,3,ok,2,6,F,F,CS,12,shaker
2016-05-06_09-42-36,ETHOSCOPE_024,1,4,5,ok,2,6,F,F,CS,12,shaker
2016-05-06_10-16-49,ETHOSCOPE_025,1,3,7,ok,2,6,T,F,CS,12,shaker
2016-05-06_10-16-49,ETHOSCOPE_024,1,3,8,ok,2,6,T,F,CS,12,shaker
2016-05-06_10-16-07,ETHOSCOPE_021,1,3,9,ok,2,6,T,F,CS,12,shaker
2016-05-06_10-16-21,ETHOSCOPE_023,1,3,10,ok,2,6,T,F,CS,12,shaker
2016-05-06_10-37-53,ETHOSCOPE_021,1,4,6,ok,2,6,F,F,CS,12,shaker
2016-05-06_10-38-37,ETHOSCOPE_023,1,4,7,ok,2,6,F,F,CS,12,shaker
2016-05-06_10-38-37,ETHOSCOPE_025,1,4,8,ok,2,6,F,F,CS,12,shaker
2016-05-06_10-38-06,ETHOSCOPE_024,1,4,9,ok,2,6,F,F,CS,12,shaker
2016-05-06_10-58-05,ETHOSCOPE_021,1,4,10,ok,2,6,F,F,CS,12,shaker
2016-05-10_10-09-01,ETHOSCOPE_021,1,2,1,ok,1,7,T,F,CS,12,shaker
2016-05-10_10-09-03,ETHOSCOPE_023,1,2,2,ok,1,7,T,F,CS,12,shaker
2016-05-10_10-09-05,ETHOSCOPE_025,1,2,3,ok,1,7,T,F,CS,12,shaker
2016-05-10_10-09-08,ETHOSCOPE_024,1,2,4,ok,1,7,T,F,CS,12,shaker
2016-05-10_10-34-20,ETHOSCOPE_021,1,1,1,ok,1,7,F,F,CS,12,shaker
2016-05-10_10-34-23,ETHOSCOPE_023,1,1,2,ok,1,7,F,F,CS,12,shaker
2016-05-10_10-34-26,ETHOSCOPE_025,1,1,3,ok,1,7,F,F,CS,12,shaker
2016-05-10_10-34-29,ETHOSCOPE_024,1,1,4,ok,1,7,F,F,CS,12,shaker
2016-05-10_11-07-09,ETHOSCOPE_021,1,2,5,ok,1,7,T,F,CS,12,shaker
2016-05-10_11-07-12,ETHOSCOPE_023,1,2,6,ok,1,7,T,F,CS,12,shaker
2016-05-10_11-07-14,ETHOSCOPE_025,1,2,7,ok,1,7,T,F,CS,12,shaker
2016-05-10_11-07-16,ETHOSCOPE_024,1,2,8,ok,1,7,T,F,CS,12,shaker
2016-05-10_11-37-40,ETHOSCOPE_021,1,1,5,ok,1,7,F,F,CS,12,shaker
2016-05-10_11-37-42,ETHOSCOPE_023,1,1,6,ok,1,7,F,F,CS,12,shaker
2016-05-10_11-37-44,ETHOSCOPE_025,1,1,7,ok,1,7,F,F,CS,12,shaker
2016-05-10_11-37-46,ETHOSCOPE_024,1,1,8,ok,1,7,F,F,CS,12,shaker
2016-05-10_12-10-09,ETHOSCOPE_021,1,2,9,ok,1,7,T,F,CS,12,shaker
2016-05-10_12-10-12,ETHOSCOPE_023,1,2,10,ok,1,7,T,F,CS,12,shaker
2016-05-10_12-10-15,ETHOSCOPE_025,1,2,11,ok,1,7,T,F,CS,12,shaker
2016-05-10_12-10-18,ETHOSCOPE_024,1,1,9,ok,1,7,F,F,CS,12,shaker
2016-05-10_12-32-45,ETHOSCOPE_021,1,1,10,ok,1,7,F,F,CS,12,shaker
2016-05-10_12-32-48,ETHOSCOPE_023,1,1,11,ok,1,7,F,F,CS,12,shaker
2016-05-13_10-00-40,ETHOSCOPE_021,1,1,1,ok,2,7,T,F,CS,12,shaker
2016-05-13_10-00-42,ETHOSCOPE_023,1,1,2,ok,2,7,T,F,CS,12,shaker
2016-05-13_10-00-44,ETHOSCOPE_025,1,1,3,ok,2,7,T,F,CS,12,shaker
2016-05-13_10-00-46,ETHOSCOPE_024,1,1,4,ok,2,7,T,F,CS,12,shaker
2016-05-13_10-23-03,ETHOSCOPE_021,1,2,1,ok,2,7,F,F,CS,12,shaker
2016-05-13_10-23-05,ETHOSCOPE_023,1,2,2,ok,2,7,F,F,CS,12,shaker
2016-05-13_10-23-07,ETHOSCOPE_025,1,2,3,ok,2,7,F,F,CS,12,shaker
2016-05-13_10-23-10,ETHOSCOPE_024,1,2,4,ok,2,7,F,F,CS,12,shaker
2016-05-13_10-50-21,ETHOSCOPE_021,1,1,5,ok,2,7,T,F,CS,12,shaker
2016-05-13_10-50-24,ETHOSCOPE_023,1,1,6,ok,2,7,T,F,CS,12,shaker
2016-05-13_10-50-27,ETHOSCOPE_025,1,1,7,ok,2,7,T,F,CS,12,shaker
2016-05-13_10-50-28,ETHOSCOPE_024,1,1,8,ok,2,7,T,F,CS,12,shaker
2016-05-13_11-15-39,ETHOSCOPE_021,1,2,5,ok,2,7,F,F,CS,12,shaker
2016-05-13_11-15-43,ETHOSCOPE_023,1,2,6,ok,2,7,F,F,CS,12,shaker
2016-05-13_11-15-46,ETHOSCOPE_025,1,2,7,ok,2,7,F,F,CS,12,shaker
2016-05-13_11-15-49,ETHOSCOPE_024,1,2,8,ok,2,7,F,F,CS,12,shaker
2016-05-13_11-38-16,ETHOSCOPE_021,1,1,9,ok,2,7,T,F,CS,12,shaker
2016-05-13_11-38-57,ETHOSCOPE_023,1,1,10,ok,2,7,T,F,CS,12,shaker
2016-05-13_11-38-58,ETHOSCOPE_025,1,1,11,ok,2,7,T,F,CS,12,shaker
2016-05-13_11-38-58,ETHOSCOPE_024,1,2,9,ok,2,7,F,F,CS,12,shaker
2016-05-13_12-08-26,ETHOSCOPE_021,1,2,10,ok,2,7,F,F,CS,12,shaker
2016-05-13_12-08-29,ETHOSCOPE_023,1,2,11,ok,2,7,F,F,CS,12,shaker
2016-05-16_09-17-13,ETHOSCOPE_021,1,2,1,ok,1,8,T,F,CS,12,shaker
2016-05-16_09-17-15,ETHOSCOPE_023,1,2,2,ok,1,8,T,F,CS,12,shaker
2016-05-16_09-17-17,ETHOSCOPE_025,1,2,3,ok,1,8,T,F,CS,12,shaker
2016-05-16_09-17-19,ETHOSCOPE_024,1,2,4,ok,1,8,T,F,CS,12,shaker
2016-05-16_10-15-01,ETHOSCOPE_021,1,2,5,ok,1,8,T,F,CS,12,shaker
2016-05-16_10-15-05,ETHOSCOPE_025,1,2,7,ok,1,8,T,F,CS,12,shaker
2016-05-16_10-15-07,ETHOSCOPE_024,1,2,8,ok,1,8,T,F,CS,12,shaker
2016-05-16_10-15-04,ETHOSCOPE_023,1,2,9,ok,1,8,T,F,CS,12,shaker
2016-05-16_11-16-15,ETHOSCOPE_021,1,2,10,ok,1,8,T,F,CS,12,shaker
2016-05-16_11-16-20,ETHOSCOPE_023,1,2,11,ok,1,8,T,F,CS,12,shaker
2016-05-16_11-16-27,ETHOSCOPE_025,1,2,12,ok,1,8,T,F,CS,12,shaker
2016-05-19_09-36-28,ETHOSCOPE_021,1,2,1,ok,2,8,F,F,CS,12,shaker
2016-05-19_09-36-30,ETHOSCOPE_023,1,2,2,ok,2,8,F,F,CS,12,shaker
2016-05-19_09-36-31,ETHOSCOPE_025,1,2,3,ok,2,8,F,F,CS,12,shaker
2016-05-19_09-36-33,ETHOSCOPE_024,1,2,4,ok,2,8,F,F,CS,12,shaker
2016-05-19_10-03-45,ETHOSCOPE_021,1,2,5,ok,2,8,F,F,CS,12,shaker
2016-05-19_10-03-45,ETHOSCOPE_023,1,2,7,ok,2,8,F,F,CS,12,shaker
2016-05-19_10-03-46,ETHOSCOPE_025,1,2,8,ok,2,8,F,F,CS,12,shaker
2016-05-19_10-04-09,ETHOSCOPE_024,1,2,9,ok,2,8,F,F,CS,12,shaker
2016-05-19_10-28-41,ETHOSCOPE_021,1,2,10,ok,2,8,F,F,CS,12,shaker
2016-05-19_10-28-43,ETHOSCOPE_023,1,2,11,ok,2,8,F,F,CS,12,shaker
2016-05-19_10-28-45,ETHOSCOPE_025,1,2,12,ok,2,8,F,F,CS,12,shaker
2016-05-17_09-29-31,ETHOSCOPE_021,1,4,1,ok,1,9,T,F,CS,12,shaker
2016-05-17_09-29-33,ETHOSCOPE_023,1,4,2,ok,1,9,T,F,CS,12,shaker
2016-05-17_09-29-35,ETHOSCOPE_025,1,4,3,ok,1,9,T,F,CS,12,shaker
2016-05-17_09-29-37,ETHOSCOPE_024,1,4,4,ok,1,9,T,F,CS,12,shaker
2016-05-17_10-07-17,ETHOSCOPE_021,1,3,1,ok,1,9,F,F,CS,12,shaker
2016-05-17_10-07-21,ETHOSCOPE_023,1,3,2,ok,1,9,F,F,CS,12,shaker
2016-05-17_10-07-25,ETHOSCOPE_024,1,3,4,ok,1,9,F,F,CS,12,shaker
2016-05-17_10-07-23,ETHOSCOPE_025,1,3,5,ok,1,9,F,F,CS,12,shaker
2016-05-17_10-56-33,ETHOSCOPE_021,1,4,5,ok,1,9,T,F,CS,12,shaker
2016-05-17_10-56-33,ETHOSCOPE_023,1,4,6,ok,1,9,T,F,CS,12,shaker
2016-05-17_10-56-35,ETHOSCOPE_025,1,4,7,ok,1,9,T,F,CS,12,shaker
2016-05-17_10-56-37,ETHOSCOPE_024,1,4,8,ok,1,9,T,F,CS,12,shaker
2016-05-17_11-32-10,ETHOSCOPE_021,1,3,6,ok,1,9,F,F,CS,12,shaker
2016-05-17_11-32-15,ETHOSCOPE_025,1,3,8,ok,1,9,F,F,CS,12,shaker
2016-05-17_11-32-16,ETHOSCOPE_024,1,3,9,ok,1,9,F,F,CS,12,shaker
2016-05-17_12-08-35,ETHOSCOPE_021,1,4,9,ok,1,9,T,F,CS,12,shaker
2016-05-17_12-08-37,ETHOSCOPE_023,1,4,10,ok,1,9,T,F,CS,12,shaker
2016-05-17_12-08-39,ETHOSCOPE_025,1,4,11,ok,1,9,T,F,CS,12,shaker
2016-05-17_12-08-41,ETHOSCOPE_024,1,4,12,ok,1,9,T,F,CS,12,shaker
2016-05-17_12-49-53,ETHOSCOPE_021,1,3,10,ok,1,9,F,F,CS,12,shaker
2016-05-17_12-49-54,ETHOSCOPE_023,1,3,11,ok,1,9,F,F,CS,12,shaker
2016-05-17_12-49-56,ETHOSCOPE_025,1,3,12,ok,1,9,F,F,CS,12,shaker
2016-05-20_09-20-38,ETHOSCOPE_021,1,3,1,ok,2,9,T,F,CS,12,shaker
2016-05-20_09-20-40,ETHOSCOPE_023,1,3,2,ok,2,9,T,F,CS,12,shaker
2016-05-20_09-21-15,ETHOSCOPE_025,1,3,4,ok,2,9,T,F,CS,12,shaker
2016-05-20_09-20-45,ETHOSCOPE_024,1,3,5,ok,2,9,T,F,CS,12,shaker
2016-05-20_09-44-02,ETHOSCOPE_021,1,4,1,ok,2,9,F,F,CS,12,shaker
2016-05-20_09-44-03,ETHOSCOPE_023,1,4,2,ok,2,9,F,F,CS,12,shaker
2016-05-20_09-44-06,ETHOSCOPE_025,1,4,3,ok,2,9,F,F,CS,12,shaker
2016-05-20_09-44-08,ETHOSCOPE_024,1,4,4,ok,2,9,F,F,CS,12,shaker
2016-05-20_10-06-04,ETHOSCOPE_021,1,3,6,ok,2,9,T,F,CS,12,shaker
2016-05-20_10-06-08,ETHOSCOPE_025,1,3,8,ok,2,9,T,F,CS,12,shaker
2016-05-20_10-06-10,ETHOSCOPE_024,1,3,9,ok,2,9,T,F,CS,12,shaker
2016-05-20_10-06-05,ETHOSCOPE_023,1,3,10,ok,2,9,T,F,CS,12,shaker
2016-05-20_10-29-35,ETHOSCOPE_021,1,4,5,ok,2,9,F,F,CS,12,shaker
2016-05-20_10-29-37,ETHOSCOPE_023,1,4,6,ok,2,9,F,F,CS,12,shaker
2016-05-20_10-29-39,ETHOSCOPE_025,1,4,7,ok,2,9,F,F,CS,12,shaker
2016-05-20_10-29-41,ETHOSCOPE_024,1,4,8,ok,2,9,F,F,CS,12,shaker
2016-05-20_10-51-31,ETHOSCOPE_021,1,3,11,ok,2,9,T,F,CS,12,shaker
2016-05-20_10-51-32,ETHOSCOPE_023,1,3,12,ok,2,9,T,F,CS,12,shaker
2016-05-20_10-51-34,ETHOSCOPE_025,1,4,9,ok,2,9,F,F,CS,12,shaker
2016-05-20_10-51-36,ETHOSCOPE_024,1,4,10,ok,2,9,F,F,CS,12,shaker
2016-05-20_11-14-32,ETHOSCOPE_021,1,4,11,ok,2,9,F,F,CS,12,shaker
2016-05-20_11-14-16,ETHOSCOPE_023,1,4,12,ok,2,9,F,F,CS,12,shaker
