date,machine_name,region_id,status,sex,genotype,light_duration
2016-07-07,ETHOSCOPE_047,1,dead,F,CS,1
2016-07-07,ETHOSCOPE_047,2,ok,M,CS,1
2016-07-07,ETHOSCOPE_047,3,ok,F,CS,1
2016-07-07,ETHOSCOPE_047,4,ok,M,CS,1
2016-07-07,ETHOSCOPE_047,5,ok,F,CS,1
2016-07-07,ETHOSCOPE_047,6,ok,M,CS,1
2016-07-07,ETHOSCOPE_047,7,ok,M,CS,1
2016-07-07,ETHOSCOPE_047,8,ok,F,CS,1
2016-07-07,ETHOSCOPE_047,9,ok,F,CS,1
2016-07-07,ETHOSCOPE_047,10,dead,NA,CS,1
2016-07-07,ETHOSCOPE_047,11,ok,F,CS,1
2016-07-07,ETHOSCOPE_047,12,ok,F,CS,1
2016-07-07,ETHOSCOPE_047,13,ok,M,CS,1
2016-07-07,ETHOSCOPE_047,14,ok,F,CS,1
2016-07-07,ETHOSCOPE_047,15,ok,M,CS,1
2016-07-07,ETHOSCOPE_047,16,ok,M,CS,1
2016-07-07,ETHOSCOPE_047,17,ok,M,CS,1
2016-07-07,ETHOSCOPE_047,18,ok,F,CS,1
2016-07-07,ETHOSCOPE_047,19,ok,F,CS,1
2016-07-07,ETHOSCOPE_047,20,dead,NA,CS,1
2016-07-07,ETHOSCOPE_054,1,ok,F,CS,1
2016-07-07,ETHOSCOPE_054,2,ok,M,CS,1
2016-07-07,ETHOSCOPE_054,3,ok,F,CS,1
2016-07-07,ETHOSCOPE_054,4,ok,F,CS,1
2016-07-07,ETHOSCOPE_054,5,ok,M,CS,1
2016-07-07,ETHOSCOPE_054,6,dead,NA,CS,1
2016-07-07,ETHOSCOPE_054,7,dead,NA,CS,1
2016-07-07,ETHOSCOPE_054,8,ok,F,CS,1
2016-07-07,ETHOSCOPE_054,9,ok,M,CS,1
2016-07-07,ETHOSCOPE_054,10,ok,F,CS,1
2016-07-07,ETHOSCOPE_054,11,ok,F,CS,1
2016-07-07,ETHOSCOPE_054,12,ok,F,CS,1
2016-07-07,ETHOSCOPE_054,13,ok,F,CS,1
2016-07-07,ETHOSCOPE_054,14,ok,M,CS,1
2016-07-07,ETHOSCOPE_054,15,ok,M,CS,1
2016-07-07,ETHOSCOPE_054,16,ok,M,CS,1
2016-07-07,ETHOSCOPE_054,17,ok,M,CS,1
2016-07-07,ETHOSCOPE_054,18,ok,F,CS,1
2016-07-07,ETHOSCOPE_054,19,ok,M,CS,1
2016-07-07,ETHOSCOPE_054,20,ok,F,CS,1
2016-07-07,ETHOSCOPE_055,1,ok,F,CS,1
2016-07-07,ETHOSCOPE_055,2,ok,F,CS,1
2016-07-07,ETHOSCOPE_055,3,ok,M,CS,1
2016-07-07,ETHOSCOPE_055,4,ok,M,CS,1
2016-07-07,ETHOSCOPE_055,5,ok,M,CS,1
2016-07-07,ETHOSCOPE_055,6,ok,F,CS,1
2016-07-07,ETHOSCOPE_055,7,ok,F,CS,1
2016-07-07,ETHOSCOPE_055,8,ok,F,CS,1
2016-07-07,ETHOSCOPE_055,9,ok,F,CS,1
2016-07-07,ETHOSCOPE_055,10,ok,M,CS,1
2016-07-07,ETHOSCOPE_055,11,ok,F,CS,1
2016-07-07,ETHOSCOPE_055,12,ok,F,CS,1
2016-07-07,ETHOSCOPE_055,13,ok,M,CS,1
2016-07-07,ETHOSCOPE_055,14,ok,M,CS,1
2016-07-07,ETHOSCOPE_055,15,dead,F,CS,1
2016-07-07,ETHOSCOPE_055,16,ok,F,CS,1
2016-07-07,ETHOSCOPE_055,17,ok,M,CS,1
2016-07-07,ETHOSCOPE_055,18,ok,M,CS,1
2016-07-07,ETHOSCOPE_055,19,ok,M,CS,1
2016-07-07,ETHOSCOPE_055,20,ok,M,CS,1
2016-07-07,ETHOSCOPE_041,1,dead,NA,CS,1
2016-07-07,ETHOSCOPE_041,2,ok,F,CS,1
2016-07-07,ETHOSCOPE_041,3,ok,F,CS,1
2016-07-07,ETHOSCOPE_041,4,dead,NA,CS,1
2016-07-07,ETHOSCOPE_041,5,dead,NA,CS,1
2016-07-07,ETHOSCOPE_041,6,ok,M,CS,1
2016-07-07,ETHOSCOPE_041,7,ok,F,CS,1
2016-07-07,ETHOSCOPE_041,8,ok,M,CS,1
2016-07-07,ETHOSCOPE_041,9,ok,M,CS,1
2016-07-07,ETHOSCOPE_041,10,ok,F,CS,1
2016-07-07,ETHOSCOPE_041,11,ok,M,CS,1
2016-07-07,ETHOSCOPE_041,12,ok,M,CS,1
2016-07-07,ETHOSCOPE_041,13,dead,NA,CS,1
2016-07-07,ETHOSCOPE_041,14,ok,F,CS,1
2016-07-07,ETHOSCOPE_041,15,ok,F,CS,1
2016-07-07,ETHOSCOPE_041,16,ok,F,CS,1
2016-07-07,ETHOSCOPE_041,17,ok,F,CS,1
2016-07-07,ETHOSCOPE_041,18,ok,F,CS,1
2016-07-07,ETHOSCOPE_041,19,ok,F,CS,1
2016-07-07,ETHOSCOPE_041,20,ok,F,CS,1
2016-07-14,ETHOSCOPE_047,1,dead,NA,CS,6
2016-07-14,ETHOSCOPE_047,2,ok,F,CS,6
2016-07-14,ETHOSCOPE_047,3,ok,M,CS,6
2016-07-14,ETHOSCOPE_047,4,ok,M,CS,6
2016-07-14,ETHOSCOPE_047,5,ok,F,CS,6
2016-07-14,ETHOSCOPE_047,6,ok,M,CS,6
2016-07-14,ETHOSCOPE_047,7,ok,M,CS,6
2016-07-14,ETHOSCOPE_047,8,ok,F,CS,6
2016-07-14,ETHOSCOPE_047,9,ok,M,CS,6
2016-07-14,ETHOSCOPE_047,10,ok,M,CS,6
2016-07-14,ETHOSCOPE_047,11,ok,F,CS,6
2016-07-14,ETHOSCOPE_047,12,ok,M,CS,6
2016-07-14,ETHOSCOPE_047,13,ok,M,CS,6
2016-07-14,ETHOSCOPE_047,14,ok,M,CS,6
2016-07-14,ETHOSCOPE_047,15,ok,M,CS,6
2016-07-14,ETHOSCOPE_047,16,ok,F,CS,6
2016-07-14,ETHOSCOPE_047,17,ok,M,CS,6
2016-07-14,ETHOSCOPE_047,18,ok,M,CS,6
2016-07-14,ETHOSCOPE_047,19,ok,F,CS,6
2016-07-14,ETHOSCOPE_047,20,dead,NA,CS,6
2016-07-14,ETHOSCOPE_054,1,ok,M,CS,6
2016-07-14,ETHOSCOPE_054,2,ok,M,CS,6
2016-07-14,ETHOSCOPE_054,3,ok,F,CS,6
2016-07-14,ETHOSCOPE_054,4,ok,M,CS,6
2016-07-14,ETHOSCOPE_054,5,ok,M,CS,6
2016-07-14,ETHOSCOPE_054,6,ok,F,CS,6
2016-07-14,ETHOSCOPE_054,7,ok,M,CS,6
2016-07-14,ETHOSCOPE_054,8,ok,M,CS,6
2016-07-14,ETHOSCOPE_054,9,ok,F,CS,6
2016-07-14,ETHOSCOPE_054,10,ok,F,CS,6
2016-07-14,ETHOSCOPE_054,11,ok,M,CS,6
2016-07-14,ETHOSCOPE_054,12,ok,F,CS,6
2016-07-14,ETHOSCOPE_054,13,ok,M,CS,6
2016-07-14,ETHOSCOPE_054,14,ok,F,CS,6
2016-07-14,ETHOSCOPE_054,15,ok,M,CS,6
2016-07-14,ETHOSCOPE_054,16,dead,M,CS,6
2016-07-14,ETHOSCOPE_054,17,ok,M,CS,6
2016-07-14,ETHOSCOPE_054,18,ok,F,CS,6
2016-07-14,ETHOSCOPE_054,19,ok,F,CS,6
2016-07-14,ETHOSCOPE_054,20,ok,F,CS,6
2016-07-14,ETHOSCOPE_055,1,ok,M,CS,6
2016-07-14,ETHOSCOPE_055,2,ok,M,CS,6
2016-07-14,ETHOSCOPE_055,3,ok,F,CS,6
2016-07-14,ETHOSCOPE_055,4,ok,F,CS,6
2016-07-14,ETHOSCOPE_055,5,ok,F,CS,6
2016-07-14,ETHOSCOPE_055,6,ok,M,CS,6
2016-07-14,ETHOSCOPE_055,7,ok,M,CS,6
2016-07-14,ETHOSCOPE_055,8,ok,F,CS,6
2016-07-14,ETHOSCOPE_055,9,ok,F,CS,6
2016-07-14,ETHOSCOPE_055,10,ok,M,CS,6
2016-07-14,ETHOSCOPE_055,11,ok,M,CS,6
2016-07-14,ETHOSCOPE_055,12,ok,M,CS,6
2016-07-14,ETHOSCOPE_055,13,ok,F,CS,6
2016-07-14,ETHOSCOPE_055,14,dead,F,CS,6
2016-07-14,ETHOSCOPE_055,15,ok,F,CS,6
2016-07-14,ETHOSCOPE_055,16,ok,M,CS,6
2016-07-14,ETHOSCOPE_055,17,ok,M,CS,6
2016-07-14,ETHOSCOPE_055,18,ok,F,CS,6
2016-07-14,ETHOSCOPE_055,19,ok,M,CS,6
2016-07-14,ETHOSCOPE_055,20,ok,F,CS,6
2016-07-14,ETHOSCOPE_041,1,ok,F,CS,6
2016-07-14,ETHOSCOPE_041,2,ok,F,CS,6
